Action URI,# Causal Links,# Occurrences,# Images,Causal Links,Interesting Image Sets,Notes
/c/en/compete,26,66,55,/c/en/challenge-/r/CausesDesire-/c/en/compete-0000(2.0)|/c/en/play-/r/HasSubevent-/c/en/compete-0000(1.0)|/c/en/compete-/r/HasFirstSubevent-/c/en/prepare-0000(1.0)|/c/en/compete-/r/HasFirstSubevent-/c/en/train-0000(1.0)|/c/en/compete-/r/HasFirstSubevent-/c/en/win-0000(1.0)|/c/en/compete-/r/HasLastSubevent-/c/en/lose-0000(1.0)|/c/en/compete-/r/HasLastSubevent-/c/en/win-0000(1.0)|/c/en/compete-/r/HasPrerequisite-/c/en/start-0000(1.0)|/c/en/compete-/r/HasPrerequisite-/c/en/stretch-0000(1.0)|/c/en/compete-/r/HasPrerequisite-/c/en/train-0000(5.292)|/c/en/compete-/r/HasSubevent-/c/en/lose-0000(1.0)|/c/en/compete-/r/HasSubevent-/c/en/win-0000(6.633)|/c/en/compete-/r/MotivatedByGoal-/c/en/win-0000(6.633)|,,
/c/en/communicate,24,6,5,/c/en/type-/r/MotivatedByGoal-/c/en/communicate-0000(1.0)|/c/en/teach-/r/HasSubevent-/c/en/communicate-0000(1.0)|/c/en/talk-/r/MotivatedByGoal-/c/en/communicate-0000(2.828)|/c/en/communicate-/r/HasLastSubevent-/c/en/listen-0000(1.0)|/c/en/communicate-/r/HasPrerequisite-/c/en/listen-0000(2.828)|/c/en/communicate-/r/HasPrerequisite-/c/en/talk-0000(2.828)|/c/en/communicate-/r/HasPrerequisite-/c/en/think-0000(2.828)|/c/en/communicate-/r/HasPrerequisite-/c/en/write-0000(1.0)|/c/en/communicate-/r/HasSubevent-/c/en/listen-0000(1.0)|/c/en/communicate-/r/HasSubevent-/c/en/talk-0000(1.0)|/c/en/write-/r/HasSubevent-/c/en/communicate-0000(1.0)|/c/en/write-/r/MotivatedByGoal-/c/en/communicate-0000(2.0)|,,
/c/en/fall,22,342,275,/c/en/wrestle-/r/HasSubevent-/c/en/fall-0000(1.0)|/c/en/jump-/r/HasSubevent-/c/en/fall-0000(1.0)|/c/en/fall-/r/HasLastSubevent-/c/en/land-0000(1.0)|/c/en/fall-/r/HasPrerequisite-/c/en/trip-0000(3.464)|/c/en/fall-/r/HasSubevent-/c/en/land-0000(1.0)|/c/en/fall-/r/MotivatedByGoal-/c/en/die-0000(1.0)|/c/en/fall-/r/MotivatedByGoal-/c/en/rush-0000(1.0)|/c/en/climb-/r/HasSubevent-/c/en/fall-0000(1.0)|/c/en/trip-/r/HasSubevent-/c/en/fall-0000(2.0)|/c/en/skate-/r/HasSubevent-/c/en/fall-0000(1.0)|/c/en/skateboard-/r/HasSubevent-/c/en/fall-0000(1.0)|,,
/c/en/lie,20,566,477,/c/en/love-/r/CausesDesire-/c/en/lie-0000(2.0)|/c/en/lie-/r/HasFirstSubevent-/c/en/smile-0000(1.0)|/c/en/lie-/r/HasFirstSubevent-/c/en/think-0000(1.0)|/c/en/lie-/r/HasLastSubevent-/c/en/blush-0000(1.0)|/c/en/lie-/r/HasLastSubevent-/c/en/cry-0000(1.0)|/c/en/lie-/r/HasPrerequisite-/c/en/think-0000(1.0)|/c/en/lie-/r/HasSubevent-/c/en/blush-0000(1.0)|/c/en/lie-/r/MotivatedByGoal-/c/en/cheat-0000(1.0)|/c/en/lie-/r/MotivatedByGoal-/c/en/get-0000(1.0)|/c/en/lie-/r/MotivatedByGoal-/c/en/protect-0000(4.0)|,,
/c/en/write,20,219,176,/c/en/type-/r/MotivatedByGoal-/c/en/write-0000(1.0)|/c/en/communicate-/r/HasPrerequisite-/c/en/write-0000(1.0)|/c/en/write-/r/HasFirstSubevent-/c/en/think-0000(2.0)|/c/en/write-/r/HasPrerequisite-/c/en/plan-0000(1.0)|/c/en/write-/r/HasPrerequisite-/c/en/research-0000(1.0)|/c/en/write-/r/HasPrerequisite-/c/en/think-0000(2.0)|/c/en/write-/r/HasSubevent-/c/en/communicate-0000(1.0)|/c/en/write-/r/HasSubevent-/c/en/think-0000(1.0)|/c/en/write-/r/MotivatedByGoal-/c/en/communicate-0000(2.0)|/c/en/write-/r/MotivatedByGoal-/c/en/write-0000(1.0)|,,
/c/en/perform,20,235,202,/c/en/desire-/r/CausesDesire-/c/en/perform-0000(1.0)|/c/en/sing-/r/MotivatedByGoal-/c/en/perform-0000(1.0)|/c/en/perform-/r/HasFirstSubevent-/c/en/rehearse-0000(1.0)|/c/en/perform-/r/HasLastSubevent-/c/en/bow-0000(2.828)|/c/en/perform-/r/HasPrerequisite-/c/en/act-0000(1.0)|/c/en/perform-/r/HasPrerequisite-/c/en/practice-0000(3.464)|/c/en/perform-/r/HasPrerequisite-/c/en/prepare-0000(1.0)|/c/en/perform-/r/HasPrerequisite-/c/en/rehearse-0000(3.464)|/c/en/perform-/r/HasSubevent-/c/en/smile-0000(2.828)|/c/en/entertain-/r/HasPrerequisite-/c/en/perform-0000(2.0)|,,
/c/en/die,20,160,144,/c/en/drink-/r/HasSubevent-/c/en/die-0000(1.0)|/c/en/die-/r/HasFirstSubevent-/c/en/rest-0000(1.0)|/c/en/die-/r/HasLastSubevent-/c/en/die-0000(1.0)|/c/en/die-/r/HasPrerequisite-/c/en/travel-0000(1.0)|/c/en/rest-/r/HasLastSubevent-/c/en/die-0000(1.0)|/c/en/smoke-/r/HasLastSubevent-/c/en/die-0000(2.0)|/c/en/smoke-/r/HasSubevent-/c/en/die-0000(1.0)|/c/en/smoke-/r/MotivatedByGoal-/c/en/die-0000(1.0)|/c/en/fall-/r/MotivatedByGoal-/c/en/die-0000(1.0)|/c/en/work-/r/HasLastSubevent-/c/en/die-0000(1.0)|,,
/c/en/drink,18,1234,631,/c/en/drink-/r/HasFirstSubevent-/c/en/pour-0000(1.0)|/c/en/drink-/r/HasFirstSubevent-/c/en/swallow-0000(1.0)|/c/en/drink-/r/HasLastSubevent-/c/en/swallow-0000(3.464)|/c/en/drink-/r/HasLastSubevent-/c/en/urinate-0000(1.0)|/c/en/drink-/r/HasPrerequisite-/c/en/drink-0000(2.828)|/c/en/drink-/r/HasPrerequisite-/c/en/swallow-0000(3.464)|/c/en/drink-/r/HasSubevent-/c/en/die-0000(1.0)|/c/en/drink-/r/HasSubevent-/c/en/stumble-0000(2.828)|/c/en/drink-/r/MotivatedByGoal-/c/en/vomit-0000(1.0)|,,
/c/en/travel,18,1867,1514,/c/en/die-/r/HasPrerequisite-/c/en/travel-0000(1.0)|/c/en/travel-/r/HasFirstSubevent-/c/en/leave-0000(1.0)|/c/en/travel-/r/HasFirstSubevent-/c/en/pack-0000(3.464)|/c/en/travel-/r/HasFirstSubevent-/c/en/plan-0000(1.0)|/c/en/travel-/r/HasLastSubevent-/c/en/disembark-0000(1.0)|/c/en/travel-/r/HasLastSubevent-/c/en/stop-0000(1.0)|/c/en/travel-/r/HasPrerequisite-/c/en/map-0000(1.0)|/c/en/travel-/r/HasPrerequisite-/c/en/pack-0000(4.0)|/c/en/travel-/r/HasSubevent-/c/en/read-0000(1.0)|,,
/c/en/walk,18,8402,5319,/c/en/drive-/r/HasFirstSubevent-/c/en/walk-0000(1.0)|/c/en/walk-/r/HasPrerequisite-/c/en/stand-0000(4.0)|/c/en/walk-/r/HasSubevent-/c/en/cause-0000(1.0)|/c/en/walk-/r/HasSubevent-/c/en/talk-0000(1.0)|/c/en/walk-/r/HasSubevent-/c/en/trip-0000(1.0)|/c/en/walk-/r/HasSubevent-/c/en/whistle-0000(2.0)|/c/en/run-/r/HasPrerequisite-/c/en/walk-0000(1.0)|/c/en/hike-/r/HasSubevent-/c/en/walk-0000(1.0)|/c/en/hike-/r/MotivatedByGoal-/c/en/walk-0000(1.0)|,,
/c/en/swallow,18,1,1,/c/en/drink-/r/HasFirstSubevent-/c/en/swallow-0000(1.0)|/c/en/drink-/r/HasLastSubevent-/c/en/swallow-0000(3.464)|/c/en/drink-/r/HasPrerequisite-/c/en/swallow-0000(3.464)|/c/en/swallow-/r/HasPrerequisite-/c/en/chew-0000(1.0)|/c/en/eat-/r/HasLastSubevent-/c/en/swallow-0000(2.828)|/c/en/eat-/r/HasPrerequisite-/c/en/swallow-0000(2.0)|/c/en/eat-/r/HasSubevent-/c/en/swallow-0000(2.828)|/c/en/talk-/r/HasPrerequisite-/c/en/swallow-0000(1.0)|/c/en/spit-/r/HasLastSubevent-/c/en/swallow-0000(1.0)|,,
/c/en/smile,18,3359,2690,/c/en/perform-/r/HasSubevent-/c/en/smile-0000(2.828)|/c/en/entertain-/r/HasLastSubevent-/c/en/smile-0000(1.0)|/c/en/entertain-/r/HasPrerequisite-/c/en/smile-0000(1.0)|/c/en/lie-/r/HasFirstSubevent-/c/en/smile-0000(1.0)|/c/en/laugh-/r/HasSubevent-/c/en/smile-0000(1.0)|/c/en/socialize-/r/HasFirstSubevent-/c/en/smile-0000(1.0)|/c/en/socialize-/r/HasSubevent-/c/en/smile-0000(1.0)|/c/en/copulate-/r/HasFirstSubevent-/c/en/smile-0000(1.0)|/c/en/copulate-/r/HasLastSubevent-/c/en/smile-0000(1.0)|,,
/c/en/run,16,1442,1054,/c/en/run-/r/HasFirstSubevent-/c/en/stretch-0000(2.0)|/c/en/run-/r/HasLastSubevent-/c/en/rest-0000(1.0)|/c/en/run-/r/HasLastSubevent-/c/en/stop-0000(1.0)|/c/en/run-/r/HasPrerequisite-/c/en/breathe-0000(1.0)|/c/en/run-/r/HasPrerequisite-/c/en/run-0000(1.0)|/c/en/run-/r/HasPrerequisite-/c/en/stretch-0000(2.0)|/c/en/run-/r/HasPrerequisite-/c/en/walk-0000(1.0)|/c/en/run-/r/HasSubevent-/c/en/sweat-0000(6.928)|,,
/c/en/work,16,402,324,/c/en/eat-/r/HasPrerequisite-/c/en/work-0000(2.0)|/c/en/work-/r/CausesDesire-/c/en/rest-0000(1.0)|/c/en/work-/r/HasLastSubevent-/c/en/die-0000(1.0)|/c/en/work-/r/HasPrerequisite-/c/en/concentrate-0000(1.0)|/c/en/work-/r/HasPrerequisite-/c/en/sweat-0000(1.0)|/c/en/work-/r/HasSubevent-/c/en/clock_in-0000(1.0)|/c/en/work-/r/HasSubevent-/c/en/plan-0000(1.0)|/c/en/work-/r/HasSubevent-/c/en/sweat-0000(2.0)|,,
/c/en/play,16,6711,3761,/c/en/play-/r/HasLastSubevent-/c/en/rest-0000(1.0)|/c/en/play-/r/HasLastSubevent-/c/en/stop-0000(1.0)|/c/en/play-/r/HasPrerequisite-/c/en/play-0000(2.828)|/c/en/play-/r/HasPrerequisite-/c/en/relax-0000(2.0)|/c/en/play-/r/HasSubevent-/c/en/compete-0000(1.0)|/c/en/play-/r/HasSubevent-/c/en/laugh-0000(1.0)|/c/en/play-/r/MotivatedByGoal-/c/en/play-0000(1.0)|/c/en/play-/r/MotivatedByGoal-/c/en/relax-0000(1.0)|,,
/c/en/entertain,16,19,13,/c/en/love-/r/CausesDesire-/c/en/entertain-0000(1.0)|/c/en/entertain-/r/HasLastSubevent-/c/en/smile-0000(1.0)|/c/en/entertain-/r/HasPrerequisite-/c/en/invite-0000(1.0)|/c/en/entertain-/r/HasPrerequisite-/c/en/know-0000(1.0)|/c/en/entertain-/r/HasPrerequisite-/c/en/perform-0000(2.0)|/c/en/entertain-/r/HasPrerequisite-/c/en/smile-0000(1.0)|/c/en/entertain-/r/HasSubevent-/c/en/please-0000(1.0)|/c/en/entertain-/r/MotivatedByGoal-/c/en/please-0000(4.0)|,,
/c/en/contemplate,16,5,5,/c/en/read-/r/HasLastSubevent-/c/en/contemplate-0000(1.0)|/c/en/contemplate-/r/HasLastSubevent-/c/en/socialize-0000(1.0)|/c/en/contemplate-/r/HasPrerequisite-/c/en/look-0000(1.0)|/c/en/contemplate-/r/HasPrerequisite-/c/en/observe-0000(1.0)|/c/en/contemplate-/r/HasPrerequisite-/c/en/think-0000(6.633)|/c/en/contemplate-/r/HasSubevent-/c/en/think-0000(3.464)|/c/en/contemplate-/r/MotivatedByGoal-/c/en/answer-0000(1.0)|/c/en/contemplate-/r/MotivatedByGoal-/c/en/wonder-0000(1.0)|,,
/c/en/socialize,16,17,10,/c/en/dance-/r/MotivatedByGoal-/c/en/socialize-0000(1.0)|/c/en/contemplate-/r/HasLastSubevent-/c/en/socialize-0000(1.0)|/c/en/socialize-/r/HasFirstSubevent-/c/en/approach-0000(1.0)|/c/en/socialize-/r/HasFirstSubevent-/c/en/smile-0000(1.0)|/c/en/socialize-/r/HasPrerequisite-/c/en/mix-0000(1.0)|/c/en/socialize-/r/HasPrerequisite-/c/en/party-0000(1.0)|/c/en/socialize-/r/HasSubevent-/c/en/smile-0000(1.0)|/c/en/socialize-/r/MotivatedByGoal-/c/en/company-0000(1.0)|,,
/c/en/sweat,16,16,14,/c/en/wrestle-/r/HasSubevent-/c/en/sweat-0000(4.472)|/c/en/sleep-/r/HasSubevent-/c/en/sweat-0000(2.0)|/c/en/run-/r/HasSubevent-/c/en/sweat-0000(6.928)|/c/en/work-/r/HasPrerequisite-/c/en/sweat-0000(1.0)|/c/en/work-/r/HasSubevent-/c/en/sweat-0000(2.0)|/c/en/fight-/r/HasSubevent-/c/en/sweat-0000(1.0)|/c/en/hike-/r/HasSubevent-/c/en/sweat-0000(3.464)|/c/en/ski-/r/HasSubevent-/c/en/sweat-0000(1.0)|,,
/c/en/skate,14,535,419,/c/en/skate-/r/HasSubevent-/c/en/dance-0000(1.0)|/c/en/skate-/r/HasSubevent-/c/en/fall-0000(1.0)|/c/en/skate-/r/HasSubevent-/c/en/glide-0000(1.0)|/c/en/skate-/r/HasSubevent-/c/en/jump-0000(1.0)|/c/en/skate-/r/HasSubevent-/c/en/spin-0000(1.0)|/c/en/skate-/r/MotivatedByGoal-/c/en/cool-0000(1.0)|/c/en/winter-/r/CausesDesire-/c/en/skate-0000(1.0)|,,
/c/en/sing,14,43,26,/c/en/love-/r/CausesDesire-/c/en/sing-0000(4.0)|/c/en/sing-/r/HasLastSubevent-/c/en/bow-0000(2.828)|/c/en/sing-/r/HasLastSubevent-/c/en/stop-0000(1.0)|/c/en/sing-/r/HasPrerequisite-/c/en/practice-0000(1.0)|/c/en/sing-/r/HasSubevent-/c/en/breathe-0000(1.0)|/c/en/sing-/r/MotivatedByGoal-/c/en/enjoy-0000(1.0)|/c/en/sing-/r/MotivatedByGoal-/c/en/perform-0000(1.0)|,,
/c/en/get,14,150,114,/c/en/love-/r/CausesDesire-/c/en/get-0000(2.0)|/c/en/get-/r/HasPrerequisite-/c/en/buy-0000(2.0)|/c/en/get-/r/HasPrerequisite-/c/en/get-0000(1.0)|/c/en/get-/r/HasPrerequisite-/c/en/give-0000(2.0)|/c/en/get-/r/HasPrerequisite-/c/en/produce-0000(1.0)|/c/en/get-/r/HasPrerequisite-/c/en/steal-0000(2.0)|/c/en/lie-/r/MotivatedByGoal-/c/en/get-0000(1.0)|,,
/c/en/jump,14,1181,944,/c/en/jump-/r/HasPrerequisite-/c/en/jump-0000(1.0)|/c/en/jump-/r/HasSubevent-/c/en/fall-0000(1.0)|/c/en/skate-/r/HasSubevent-/c/en/jump-0000(1.0)|/c/en/dive-/r/HasFirstSubevent-/c/en/jump-0000(1.0)|/c/en/dive-/r/HasPrerequisite-/c/en/jump-0000(1.0)|/c/en/dive-/r/HasSubevent-/c/en/jump-0000(1.0)|/c/en/fence-/r/HasSubevent-/c/en/jump-0000(1.0)|,,
